taps,beta,cutoff,delay,gain_db,null_lufs,null_rms,null_peak,esr,mae,mse,mrstft
33,8.0,0.7,47.49997836621604,1.4676816713469436e-05,-inf,-97.40078230932352,-60.71470798216954,1.8193730992672806e-10,1.381512251137749e-07,1.1357022912515012e-11,1.1954347771216357e-05
33,8.0,0.75,47.50002163378396,1.184686534015169e-05,-inf,-97.672624394769,-61.172632878219815,1.7089822834132076e-10,1.379506798038299e-07,1.0667933343426164e-11,1.1424682206516021e-05
33,8.0,0.8,47.50002163378396,9.06301651710028e-06,-inf,-97.93588494205407,-61.63745572426015,1.6084645950015098e-10,1.381220477623823e-07,1.0040474527604139e-11,1.0877634380350425e-05
33,8.0,0.85,47.50002163378396,5.657850656324486e-06,-inf,-98.18796522169077,-62.09934441124494,1.5177613100476403e-10,1.3738514377954014e-07,9.474279893927112e-12,1.0317906567957283e-05
33,8.0,0.9,47.49997836621604,1.8486735995203199e-06,-inf,-98.42548201538052,-62.56022220019359,1.4369835563690042e-10,1.3817958587235022e-07,8.970043132528789e-12,9.911370842902218e-06
33,8.0,0.95,47.50002163378396,-1.5179472388141369e-06,-inf,-98.64599545873101,-62.99234564795047,1.3658419712860352e-10,1.3791372040089168e-07,8.525957962672588e-12,9.461657627241984e-06
33,10.0,0.5,47.49997836621604,-7.471413195120018e-07,-inf,-96.0767303764628,-58.39088436914179,2.4678966153062143e-10,1.382499673222511e-07,1.5405283510588716e-11,1.5299864814977396e-05
33,10.0,0.6,47.50002163378396,9.462916562587111e-07,-inf,-96.59620609550699,-59.202060269329166,2.1896736411355776e-10,1.378713428311865e-07,1.366853985217333e-11,1.4069285899197595e-05
33,10.0,0.7,47.50002163378396,2.025750569104257e-06,-inf,-97.10733185639106,-60.03013371112871,1.9465556056361577e-10,1.3846439140760266e-07,1.2150930791819226e-11,1.2852615414528103e-05
33,10.0,0.75,47.49997836621604,2.5804862253542512e-06,-inf,-97.35519014512347,-60.450232420964795,1.8385734546994417e-10,1.3796996462028372e-07,1.1476876765833667e-11,1.230383275735202e-05
33,10.0,0.8,47.50002163378396,2.34484364709862e-06,-inf,-97.59493868048743,-60.85596552142506,1.7398272630767558e-10,1.3755903641225995e-07,1.0860476115942727e-11,1.1770469972845547e-05
33,10.0,0.85,47.50002163378396,2.609263592153193e-06,-inf,-97.82457894411297,-61.261621022709164,1.6502209852960934e-10,1.3826050597585268e-07,1.0301129300124678e-11,1.1313608564315198e-05
33,10.0,0.9,47.50002163378396,2.673373250685791e-06,-inf,-98.04191537545462,-61.657915868687695,1.569670377577457e-10,1.3789140418299944e-07,9.798310445736876e-12,1.0823950492944063e-05
33,10.0,0.95,47.50002163378396,2.2255136588884697e-06,-inf,-98.24466192589244,-62.04087208209809,1.4980758653828837e-10,1.37572407086026e-07,9.351397981365732e-12,1.0420223154714593e-05
33,12.0,0.5,47.50002163378396,-2.355684804013014e-06,-inf,-95.88699638201359,-57.86815629085972,2.578103579169464e-10,1.377795104595321e-07,1.6093225425426143e-11,1.618984850268128e-05
33,12.0,0.6,47.49997836621604,-1.1724673930056827e-06,-inf,-96.37241474004533,-58.641791453865096,2.3054649604681094e-10,1.3823135829768834e-07,1.4391340836347229e-11,1.4899298133293105e-05
33,12.0,0.7,47.50002163378396,-9.534949488015584e-07,-inf,-96.84719097879173,-59.41161854592383,2.0667164779557414e-10,1.377558838920204e-07,1.2901007717036435e-11,1.3727067645280844e-05
33,12.0,0.75,47.50002163378396,-8.85607960113024e-07,-inf,-97.07674423815577,-59.796840840915536,1.9603137050323432e-10,1.3822791762073362e-07,1.2236812599205554e-11,1.3211131699073001e-05
33,12.0,0.8,47.49997836621604,-1.44136852840832e-06,-inf,-97.29885018653412,-60.18352748520998,1.8625801975708673e-10,1.38267236283938e-07,1.1626733399943206e-11,1.2674427704970772e-05
33,12.0,0.85,47.49997836621604,-9.698516609481543e-07,-inf,-97.51166817078303,-60.55832006932653,1.7735081269160568e-10,1.3846140068813248e-07,1.1070721250648902e-11,1.220072293266934e-05
33,12.0,0.9,47.50002163378396,-4.7369280250017587e-07,-inf,-97.7135578088196,-60.917682157712676,1.6929503406186845e-10,1.3779177113425823e-07,1.0567857585615489e-11,1.1721162030162628e-05
33,12.0,0.95,47.50002163378396,-9.975403079843164e-07,-inf,-97.90276168308593,-61.2702089328733,1.6207791144829817e-10,1.379027447413536e-07,1.0117345115590744e-11,1.1294554372210817e-05
33,14.0,0.5,47.49997836621604,-1.1971699202362882e-06,-inf,-95.70932569890861,-57.40059082952161,2.685761414177201e-10,1.381729135880418e-07,1.676525498296277e-11,1.704547670874708e-05
33,14.0,0.6,47.50002163378396,-1.609498168405188e-06,-inf,-96.16717511187167,-58.12408335852561,2.4170324929760047e-10,1.3744922997807385e-07,1.508777579160474e-11,1.5743377892631505e-05
33,14.0,0.7,47.49997836621604,-1.818763429104564e-06,-inf,-96.6127413367852,-58.85800127434001,2.181352572278639e-10,1.3820104980795686e-07,1.3616597471744088e-11,1.4573720603136273e-05
33,14.0,0.75,47.49997836621604,-1.1844078429299853e-06,-inf,-96.82794286730254,-59.21995045638796,2.0758965793365577e-10,1.3758655600738452e-07,1.2958312412683045e-11,1.4033698495338535e-05
33,14.0,0.8,47.50002163378396,-7.190485197420458e-07,-inf,-97.03612072280491,-59.57231930010008,1.9787363306389038e-10,1.3712149950164752e-07,1.235181165091554e-11,1.3467598604374658e-05
33,14.0,0.85,47.49997836621604,-1.2919464461192152e-06,-inf,-97.23560374898084,-59.928546296877826,1.8899034816784317e-10,1.3856408817091378e-07,1.179729278865778e-11,1.301977879690843e-05
33,14.0,0.9,47.50002163378396,-1.1655860091378469e-06,-inf,-97.42537627116859,-60.26515944212167,1.8090991637663612e-10,1.383456974525821e-07,1.1292890206071989e-11,1.25074867014883e-05
33,14.0,0.95,47.50002163378396,-9.236899114761849e-07,-inf,-97.60390558799588,-60.59576553879009,1.7362387358755592e-10,1.3711234314383177e-07,1.0838075550790598e-11,1.2142768526628885e-05
65,6.0,0.5,63.49997836621604,0.00023259560676105144,-inf,-97.02615307785743,-61.31362054896118,1.983283013409041e-10,1.4517367097380333e-07,1.2380235078287865e-11,1.128643820270769e-05
65,6.0,0.6,63.49997836621604,0.00029474426976918827,-inf,-97.82782600403658,-62.406004888354914,1.6489876369524824e-10,1.4207232187747595e-07,1.0293465152797983e-11,1.001955349294791e-05
65,6.0,0.7,63.49997836621604,0.0001533550460658303,-inf,-98.78563046952641,-64.22503406719473,1.3226256872140089e-10,1.405831608287714e-07,8.256218007003286e-12,8.348633822449271e-06
