case,freq,mag_db,phase_rad
FndrDeluxe5E3:noon,500,-1.51025925213,-0.0627756304587
FndrDeluxe5E3:noon,1000,-1.75470064806,-0.0402300566278
FndrDeluxe5E3:noon,2000,-1.83792743377,-0.0216219080685
FndrDeluxe5E3:noon,4000,-1.86065571987,-0.0110167806412
FndrDeluxe5E3:noon,8000,-1.86646968745,-0.00553471831319
FndrDeluxe5E3:noon,16000,-1.86793162566,-0.0027706693582
FndrDeluxe5E3:bass10,31.5,-0.620301619681,0.0325422398206
FndrDeluxe5E3:bass10,63,-0.649926677835,-0.00473856657118
FndrDeluxe5E3:bass10,125,-0.7736924732,-0.0384995513335
FndrDeluxe5E3:bass10,250,-1.09314428551,-0.0653200285908
FndrDeluxe5E3:bass10,500,-1.51025925213,-0.0627756304587
FndrDeluxe5E3:bass10,1000,-1.75470064806,-0.0402300566278
FndrDeluxe5E3:bass10,2000,-1.83792743377,-0.0216219080685
FndrDeluxe5E3:bass10,4000,-1.86065571987,-0.0110167806412
FndrDeluxe5E3:bass10,8000,-1.86646968745,-0.00553471831319
FndrDeluxe5E3:bass10,16000,-1.86793162566,-0.0027706693582
FndrDeluxe5E3:treble0,31.5,-0.608726167919,0.0284345093942
FndrDeluxe5E3:treble0,63,-0.609853109618,-0.0137182293379
FndrDeluxe5E3:treble0,125,-0.638692966602,-0.061381682416
FndrDeluxe5E3:treble0,250,-0.740124748198,-0.136536811153
FndrDeluxe5E3:treble0,500,-1.03984903359,-0.267707795788
FndrDeluxe5E3:treble0,1000,-1.94925814696,-0.492199659455
FndrDeluxe5E3:treble0,2000,-4.34438575,-0.7939013703
FndrDeluxe5E3:treble0,4000,-8.60994428043,-1.04099817551
FndrDeluxe5E3:treble0,8000,-13.8958361298,-1.12333352533
FndrDeluxe5E3:treble0,16000,-19.1243224275,-1.02011548814
FndrDeluxe5E3:treble10,31.5,-0.518695513249,0.0588955794439
FndrDeluxe5E3:treble10,63,-0.442286175914,0.031992678897
FndrDeluxe5E3:treble10,125,-0.415700549395,0.0137712615861
FndrDeluxe5E3:treble10,250,-0.434377022745,0.00254332965641
FndrDeluxe5E3:treble10,500,-0.472174976745,-0.00169570528898
FndrDeluxe5E3:treble10,1000,-0.49561580526,-0.00172832706304
FndrDeluxe5E3:treble10,2000,-0.50369401479,-0.00101459060543
FndrDeluxe5E3:treble10,4000,-0.505906399864,-0.000527853308844
FndrDeluxe5E3:treble10,8000,-0.506472731772,-0.000266556620779
FndrDeluxe5E3:treble10,16000,-0.506615162309,-0.000133608984171
FndrTMB:noon,31.5,-21.7065609874,0.160419658113
FndrTMB:noon,63,-21.7723933612,-0.0190502268045
FndrTMB:noon,125,-22.519703679,-0.169923470525
FndrTMB:noon,250,-24.3643630395,-0.234441614528
FndrTMB:noon,500,-26.2574937213,-0.0453278635738
